"longitude","latitude","Lcurrent","Ccurrent","Ucurrent","L1p5degree","C1p5degree","U1p5degree","L3p0degree","C3p0degree","U3p0degree","L5p0degree","C5p0degree","U5p0degree"
-1.465,55.13,1.71733819642883,2.01628060090759,3.43784532223995,2.01143274385703,2.43228688315014,3.79345611888673,2.23618287164355,2.97347298293946,4.25701449015073,2.60214357285959,3.34400453776826,4.61183626414315
-1.465,55.182,1.76435691450899,2.0581664031108,3.42026082584069,2.07723418478158,2.45280712585969,3.77126946908377,2.30197348855226,3.01097520498998,4.23227653729906,2.6531210577191,3.39218945182865,4.58852617702165
-1.348,54.87,1.74929850373534,2.05765226136431,3.4797645772991,2.05463765614111,2.44545769857419,3.82338972490592,2.27720469002345,3.00847743562408,4.30458501164826,2.65084852488462,3.40126965097675,4.66426588049945
-1.348,54.974,1.73401137746874,2.03161330349936,3.48908153208885,2.04107469618092,2.42773301328982,3.83366425881598,2.27952259736038,2.99786478005065,4.29476880570151,2.62881760682506,3.35593427939865,4.64404610332217
-1.23,54.661,1.77061453923817,2.08565532623606,3.52895382668938,2.07797957994683,2.47071913348388,3.87211116009883,2.31396028222379,3.02638555504146,4.34913285546459,2.67056523174862,3.41581621320076,4.70278896296482
-0.879,54.609,1.87867629226175,2.19381014914717,3.5978694286933,2.20678622930275,2.58734579756401,3.96831948074254,2.44810133863471,3.17032367250709,4.42308501845872,2.81847128973427,3.54251659015233,4.77124296863648
-0.293,54.245,2.04312402956972,2.43235198342133,3.80560076658643,2.37403065449104,2.82107968301029,4.16879245326473,2.63129459738197,3.42215278232435,4.64488129144871,3.0105846859248,3.77632529631808,5.0206571307995
-0.176,53.88,1.91893347722353,2.24696253783209,4.09759392692973,2.24876539368372,2.68328373236699,4.46379959087698,2.503197445798,3.23679912410092,4.95849552626462,2.86411809926374,3.66491893698033,5.31475035489158
-0.059,53.568,2.00974628408947,2.35642629998376,4.35928633170203,2.33142801719595,2.76416937324411,4.72153798168577,2.57788252370168,3.34426680306343,5.20164845947915,2.98052790145861,3.77107738282688,5.57657137691429
-0.059,53.62,1.98711221754908,2.35145868347208,4.33744549029711,2.31622425129913,2.76339988225075,4.69176933603127,2.55802761758362,3.315936014788,5.17816748005657,2.94331435080586,3.73193485610331,5.557429289738
-0.059,53.828,1.92228112727405,2.25781411102507,4.05068532077607,2.24860964851157,2.69024059621921,4.40964871942827,2.51508342319409,3.2345114683889,4.87889772887974,2.86570303852837,3.63306766264258,5.27325693692105
0.059,52.891,2.21587784455519,2.59551125430309,4.84970192038244,2.56957584617344,3.02060568560564,5.24150501645686,2.84771129130442,3.6366103564469,5.73573126406266,3.25763836987426,4.07000694683947,6.17787154897524
0.059,53.516,1.94722326628798,2.29868957266612,4.3831597972216,2.2768896358302,2.70611541812707,4.74417874364819,2.51310408722002,3.26759570233285,5.21775078510759,2.90433030652382,3.65643439954456,5.60230349319045
0.176,53.568,1.93692583507814,2.27039667997048,4.36172474824911,2.27033160718506,2.69693664292862,4.72373016450147,2.5270495471477,3.27075244453339,5.19645243050767,2.90008627989296,3.64232526886559,5.56545716815178
0.293,53.307,2.07047645221362,2.43808575178421,4.53822017494145,2.39347320558542,2.82335824705839,4.898721360798,2.64566180874204,3.40937727127095,5.36705208389093,3.03857510882544,3.82857881282402,5.75806077807636
0.527,51.38,3.04577804054115,3.56559031599731,4.35382287574991,3.40657282280439,3.98658504778117,4.7383136963525,3.6885524659071,4.44828690306623,5.22150187645881,4.11015351392598,4.87400888366208,5.63012581001953
0.527,51.432,3.03547519740755,3.64263818429544,4.33762630326563,3.39227500884433,4.05531832511964,4.72925945556093,3.69395826665869,4.45924632237326,5.21483367145049,4.10647613911482,4.86777602458312,5.62931886090799
0.527,52.943,2.23295054025277,2.62806629517696,4.8142794784975,2.57546039165054,3.06056532368004,5.19111458320284,2.84830119789073,3.60713456026852,5.67910154690702,3.23647842242151,4.05557158582855,6.06967964953293
0.645,51.536,3.04714189561691,3.568422026936,4.33718264136248,3.40140354342619,3.9720191937097,4.72695261684032,3.7046930091027,4.44607518742264,5.20061702934825,4.11402497617478,4.86526339618192,5.64846252262658
0.762,51.432,2.25881048000382,2.7208069278672,4.34346723218104,2.61095166310755,3.12026085868314,4.73058142337457,2.89695961700756,3.72256480602406,5.2171372864032,3.32590005929304,4.16898282589482,5.64460861410972
0.879,51.302,2.32461600074846,2.79228119243878,4.34346723218104,2.68664804372705,3.21048472966014,4.73557984947166,2.97354641514036,3.78298778196147,5.22295853243295,3.39329583527791,4.25411933410255,5.64470682437889
0.879,51.589,2.23647437254204,2.67263712854802,4.27816582725149,2.58392363175848,3.09247088567541,4.66292280019925,2.88059961594288,3.65545663601864,5.14889162257501,3.29778517934528,4.13554349563393,5.57182446529142
0.879,51.745,2.16870729087967,2.6077228521372,4.03270290101314,2.51924366923467,3.01576912013635,4.42432803917631,2.7947133171713,3.60540803148121,4.91597797676097,3.22547687173224,4.04536434397292,5.34185271076365
0.879,52.995,2.27916074901105,2.70179508164964,4.3868677008892,2.62806287114881,3.09789434698938,4.75553584390954,2.9089486946442,3.67588608810921,5.23977756683909,3.28100710138102,4.0921377658007,5.66567034879484
1.113,51.745,2.16075849382371,2.58855383664803,4.00314404307633,2.50349857208381,3.01642430819909,4.38713992653791,2.7891098159749,3.57377051233692,4.86978460933244,3.20308527612001,4.0104793487428,5.28012063915047
1.23,51.068,1.47440773251358,1.66515989615684,4.66742549553849,1.80984761361988,2.13185507376131,5.0482547054074,2.05055713646943,2.78032305365228,5.55440646837939,2.4638311228785,3.22535787594407,5.96289103693089
1.23,51.432,2.2696999820069,2.74844890777158,4.26402116060761,2.61416758455121,3.16489027145071,4.64357650182391,2.89988117493206,3.74458584161251,5.11677966203442,3.31983615880966,4.14884822139674,5.51119442780423
1.23,51.849,2.17567837937051,2.58788251088647,3.70299510606892,2.53362059886944,3.01242217210863,4.08928326179949,2.80038811211661,3.59823660273891,4.58148778382128,3.22283727005438,4.05299827621329,4.9993933858815
1.348,51.432,2.251559706512,2.70020133568306,4.19241415533721,2.6048936948786,3.11449768624602,4.58096113478261,2.86828306660842,3.66507059729613,5.06356602880508,3.28620144582813,4.13844519886182,5.47911641783988
1.348,51.953,2.12837312215231,2.5659896688038,3.6881683236115,2.47836918611803,2.96853661699472,4.07261222619652,2.7460844594821,3.59235728849007,4.5579001757573,3.17079170884938,3.99563168764109,4.95752645222769
1.465,51.276,2.03992426314243,2.42477448153037,4.11105706146828,2.39796154765314,2.81852131673551,4.49299031799025,2.6655692219567,3.42808279480833,5.00346576230025,3.07604885122397,3.86813830522789,5.40170485386024
1.465,52.057,2.24150593735091,2.70524197627611,3.37586595992278,2.59583021599359,3.10608104900926,3.75783253312806,2.87596785377717,3.56806298034812,4.25384983459955,3.28591338678864,3.9731121340589,4.65954193717128
1.465,52.891,2.82865589949068,3.31426316327053,3.88133763808618,3.16913814111716,3.68438691651829,4.25586493750648,3.43840021386259,4.08593987358022,4.73511225156283,3.85405184802226,4.48765363684669,5.13486663520584
1.699,50.911,1.62861996932204,1.83813808679017,4.91597671764676,1.96973940485837,2.29247598141103,5.30216300814007,2.22126318786078,2.93966732093744,5.80153506514384,2.63433690947898,3.39476704913674,6.20449792241569
1.699,52.318,2.2044093931162,2.49751837721131,2.95514751670727,2.54269249799146,2.85809391048947,3.3207215443242,2.81110353594648,3.26185946780419,3.81372691458448,3.21843147045617,3.65923230185165,4.19831912578746
1.699,52.37,2.30655522151099,2.56422533183812,2.84666937343455,2.65684158668882,2.92645256593285,3.23316968090786,2.92338769115187,3.32007804533468,3.74750651998143,3.32556189402096,3.70555999581344,4.14828943857596
