"longitude","latitude","Lcurrent","Ccurrent","Ucurrent","L1p5degree","C1p5degree","U1p5degree","L3p0degree","C3p0degree","U3p0degree","L5p0degree","C5p0degree","U5p0degree"
-1.465,55.13,1.63968183663067,1.89102046168271,3.36737156686897,1.93329896105838,2.3073265572106,3.72236542212517,2.15019573906072,2.87225333510426,4.19526619090787,2.51582123145191,3.24590789391666,4.54825759383891
-1.465,55.182,1.6882976034733,1.93446813413909,3.35020771117711,1.99882502221461,2.3313984794935,3.70049281563669,2.20945556291402,2.90383664599009,4.16976792738568,2.56861567517571,3.28657130968868,4.52266870373892
-1.348,54.87,1.66940165314507,1.92918421221944,3.40625915829214,1.97349186692258,2.32266661339796,3.75061308491503,2.18856045350178,2.90033861011892,4.23793418971106,2.56102710530421,3.29848704701237,4.5915779188097
-1.348,54.974,1.65449528127291,1.90617332357497,3.41377175314646,1.95880834520273,2.31498602299073,3.75936864306063,2.18422957574799,2.89102440195114,4.23125589235717,2.53871009281625,3.25026742678123,4.57494648222944
-1.23,54.661,1.69246833231458,1.95508697743733,3.45364705768482,1.99711828741854,2.36304004703123,3.7993520806093,2.21763424449681,2.92336126905174,4.28217642734551,2.58311946294328,3.31245456816696,4.63410536273671
-0.879,54.609,1.79667657274949,2.06468572566835,3.51246929027418,2.12116378396657,2.4643506932244,3.87826621253312,2.35164279499942,3.07652334139639,4.34633266879296,2.72072947758908,3.433444839936,4.69448389256249
-0.293,54.245,1.94698063469674,2.27484154154044,3.70584904391599,2.27489774582564,2.66511068232772,4.07310897823842,2.52274049461918,3.27461885618148,4.55575580000705,2.9100004747208,3.65580785242155,4.93158782317088
-0.176,53.88,1.82341693068977,2.09613831939372,3.99040007744453,2.14896340936282,2.550695815124,4.35578344754871,2.39466265941196,3.11260862087397,4.85577136967478,2.75889920206489,3.53624699983934,5.21464209039547
-0.059,53.568,1.90808483793566,2.1976855448829,4.26565215446058,2.22818181774869,2.61663658062784,4.63104792753648,2.4683561588364,3.21648599407224,5.11897070614565,2.86297020625692,3.64637598675227,5.49077473302458
-0.059,53.62,1.88605266329311,2.18744636722327,4.24629248381699,2.21536999957845,2.59135097192134,4.60096395187434,2.4481811546043,3.18330965863945,5.09203848294894,2.83355867846831,3.59551539354182,5.47409794460954
-0.059,53.828,1.82899853208466,2.11088219376971,3.94548686297929,2.15284693758864,2.54491462177016,4.30585529046389,2.41197486054347,3.11332502722291,4.7760741449377,2.76386761976243,3.5061428140739,5.18053543923599
0.059,52.891,2.10331465779669,2.42177263245262,4.76101200063609,2.45682518061153,2.86146965820374,5.1490692198824,2.72853186690068,3.48821398936807,5.65071437278795,3.13626132025105,3.91812101403988,6.09033744666392
