"longitude","latitude","Lcurrent","Ccurrent","Ucurrent","L1p5degree","C1p5degree","U1p5degree","L3p0degree","C3p0degree","U3p0degree","L5p0degree","C5p0degree","U5p0degree"
-1.465,55.13,1.55066888698769,1.75395653525629,3.28753144772541,1.84373113608838,2.17755474999718,3.63767679603034,2.04735892967845,2.75539807046554,4.11908302159506,2.41262145044224,3.13835992969671,4.48057199850481
-1.465,55.182,1.59964860292308,1.79826838453533,3.26171102184364,1.90546483051213,2.21186332148899,3.61214101590075,2.1094663349934,2.79957554407484,4.08865593944618,2.46501239004694,3.17703724696021,4.45027594965718
-1.348,54.87,1.57811934855076,1.78845204435945,3.32855281522006,1.87981870274025,2.19064270019608,3.67409185715274,2.0877370117581,2.78649946907763,4.14430749187808,2.45265170603377,3.19128817972465,4.50400412417184
-1.348,54.974,1.56381150092839,1.76784921986926,3.31883915561645,1.8655257437323,2.19732706557424,3.67357040211559,2.0797446126696,2.77512125147907,4.14366014080013,2.43805086853585,3.14658860510652,4.49418700593772
-1.23,54.661,1.60007048522221,1.81436738730502,3.36837714149858,1.90216961615181,2.23863056585002,3.72351880665925,2.11410676936233,2.80911608201548,4.19643145078252,2.48084212469765,3.19872487477166,4.56033229413778
-0.879,54.609,1.70091448384806,1.92281840384322,3.42121945530244,2.02077022037347,2.32769445773325,3.78610897588618,2.23351226696583,2.96121203046222,4.27212952330053,2.60959701642795,3.32455836478999,4.63708813180786
-0.293,54.245,1.83840627527493,2.10207532726515,3.58017641438346,2.16298627199432,2.50001588032671,3.94190190020384,2.39584142324377,3.11759054272478,4.42716102260588,2.78607379975964,3.51892779433454,4.81274253692145
-0.176,53.88,1.71616689274375,1.93673312195342,3.85883014490704,2.03818127721302,2.397555797961,4.22804828427101,2.27192658511653,2.98217558283202,4.72710044880031,2.6492563692625,3.40151497393386,5.08258893585335
-0.059,53.568,1.7948565941492,2.02724333762478,4.15803186183713,2.11191809083743,2.45261584439774,4.52713205528465,2.33723772712115,3.07539575292752,5.01022076722679,2.73228322790246,3.50463769707845,5.39036706464733
-0.059,53.62,1.77358066079642,2.0139291567284,4.14190081645973,2.100923809505,2.43122482698409,4.51341954877022,2.32258382392503,3.04949554709838,4.98265936429915,2.70682287755859,3.43203786036663,5.37563854872281
-0.059,53.828,1.72403045874583,1.94940795458004,3.8282970277351,2.04321359950506,2.40782264304057,4.19047538521432,2.28739783405201,2.9828819233391,4.68221264702696,2.6472850358367,3.37193018483954,5.0448700203708
0.059,52.891,1.97569308436178,2.23632388316832,4.64852428175865,2.32681432334685,2.69790612648538,5.0371931403292,2.58139534004976,3.32627647353103,5.54831644408489,2.99285898454081,3.74749585531278,5.97525812340325
0.059,53.516,1.74419701725663,1.9786729711848,4.1712684229392,2.06537013467269,2.41765110938483,4.54387807228927,2.28491254987223,3.01651702075357,5.02550501752229,2.6773473916385,3.40739830599138,5.40571794547007
0.176,53.568,1.73819988421504,1.96365063062279,4.15036448769602,2.06484179201463,2.41231813127074,4.51202465852911,2.29066949576747,3.00763170417323,4.98966942779703,2.6750679058381,3.39055035713248,5.38668643909047
0.293,53.307,1.85199587975289,2.10238145398372,4.31511529911421,2.17493325751393,2.52080477662911,4.67340946604301,2.41162176956729,3.14269705926074,5.17111506380398,2.79706244723223,3.51745034488769,5.54179541695036
0.527,51.38,2.68793241998835,3.00312906756521,4.03103908756125,3.03916886583703,3.43996186048493,4.41299354330516,3.30390511440794,4.0673810781417,4.94114022788024,3.71885486900114,4.51345323855119,5.35856564651287
0.527,51.432,2.6823225029143,3.03312194478368,4.02890126501732,3.03017035370781,3.46411000892855,4.41160267529261,3.30713193107754,4.05626938938213,4.91528166396965,3.71886355368792,4.48228864195855,5.33343957382747
0.527,52.943,1.99006873061889,2.25429941949659,4.61251071903189,2.32658266851811,2.69192976251513,4.99780545560192,2.57372643002269,3.2891266103114,5.49251536388642,2.96449241733374,3.7456892541542,5.89154261050323
0.645,51.536,2.68545850187122,2.99794568820776,4.02480644097251,3.03826915322966,3.42920495928685,4.41295367094413,3.30656880565932,4.02350320870907,4.9198294512026,3.72628582233643,4.4926959722818,5.35077954210021
0.762,51.432,1.97484673117484,2.27223223088374,4.03141520936766,2.32130239881165,2.68924861384751,4.42466339034634,2.58707284896886,3.33851590853339,4.92043149687914,3.00362429819991,3.79942194730958,5.34458896977077
0.879,51.302,2.02268381595734,2.32822742520763,4.03141520936766,2.37099285906478,2.76010291472574,4.42023953470398,2.6338360076166,3.36480613942257,4.9296396502096,3.05517099636985,3.84506244093023,5.3599699914992
0.879,51.589,1.96001565468252,2.24184646563293,3.98546086512402,2.30188882592489,2.68913727774815,4.38075762683873,2.57659128481503,3.29679490833266,4.89169474471173,2.99120873666093,3.77559346992733,5.29808717129824
0.879,51.745,1.90254128331625,2.18732486489708,3.7638999379814,2.2552433902263,2.6255279240514,4.14815758319615,2.50868032394985,3.24112643407807,4.64167508342819,2.93271414584271,3.69761812340295,5.08063915654192
0.879,52.995,2.02782015395477,2.31005453640589,4.14594120194525,2.36973535068007,2.7195848897489,4.52037076759112,2.62814973468011,3.32035552471821,4.99577024699008,3.01039471809929,3.7633680561712,5.41553964965579
1.113,51.745,1.90287549790837,2.18573919821237,3.73499854299855,2.24227640503526,2.63936972566635,4.11682375185089,2.50564380825442,3.2316262929486,4.61727900095856,2.92298295005423,3.69978945780133,5.03439599392871
1.23,51.068,1.35810870701605,1.49399527958776,4.50308578798969,1.68681149865202,1.99537425675614,4.88447768707322,1.91351087307748,2.63903907470105,5.39386374825356,2.3300388760346,3.08299375322558,5.82116670710383
1.23,51.432,1.9819123235292,2.29112281810145,3.9307835037242,2.31914551077736,2.72423062728503,4.31997989121231,2.57557757811341,3.34421579983819,4.79297574972503,2.99383390976898,3.76906332945976,5.22960307680407
1.23,51.849,1.91226856239543,2.18498981318771,3.43505316669834,2.26221509542939,2.63374304457,3.81454753255698,2.50242764079333,3.25125186675104,4.32024848218296,2.92540799531809,3.69380842361364,4.73518190212615
1.348,51.432,1.97493569255971,2.27050632099378,3.86057014823405,2.31983373080467,2.69353782335075,4.24397787698159,2.57152039573574,3.29463452364296,4.73181999814101,2.98109684814503,3.77294697326458,5.15290152251374
1.348,51.953,1.88054171960595,2.16749651839604,3.42582308278469,2.22413193048038,2.58893905579733,3.82266767594451,2.47637920095691,3.24421869903669,4.31137734688096,2.89240798575474,3.64626149147143,4.71979912131864
1.465,51.276,1.81189146866846,2.06833262850674,3.8577635033457,2.15817873993507,2.50807277340212,4.24372233489491,2.41062863136076,3.12154300282527,4.75025930359223,2.82484602725157,3.57101100234264,5.1660008247527
1.465,52.057,1.98553775688553,2.29360699655577,3.08732786229534,2.33307410257708,2.73211718749007,3.47032096551761,2.59729581056759,3.28819082768428,3.98127587365834,3.0063614619237,3.69569547145359,4.37015782380859
1.465,52.891,2.52308413745321,2.82051483874704,3.6153784731945,2.85641634223119,3.23625429854482,3.98912260683832,3.10402229316448,3.78455204910558,4.48119698432362,3.51607742847904,4.19182976587322,4.90059088599508
